Title,Description,URL,Published At,Source,Title Sentiment,Description Sentiment
"Share Market Highlights: Sensex, Nifty snap 7-day rally, fall nearly 1% on profit-booking","Sensex, Nifty updates on 26 March 2025: Benchmark indices Sensex and Nifty ended their seven-day winning streak on Wednesday, falling nearly 1% due to profit-booking in banking and IT stocks. The Sensex dropped 728.69 points (0.93%) to 77,288.50, while Nifty …",https://www.thehindubusinessline.com/markets/stock-market-highlights-26th-march-2025/article69372911.ece,2025-03-26T01:16:17Z,BusinessLine,Positive,Positive
"India E-Bus Industry Report 2025: Market to Grow at a CAGR of ~86% to 2030, Driven by Government Policies, Environmental Concerns, and Battery Advancements","Dublin, March  25, 2025  (GLOBE NEWSWIRE) -- The ""E-Bus Market in India (2025-2030)"" report has been added to  ResearchAndMarkets.com's offering.   In...",https://www.globenewswire.com/news-release/2025/03/25/3048946/28124/en/India-E-Bus-Industry-Report-2025-Market-to-Grow-at-a-CAGR-of-86-to-2030-Driven-by-Government-Policies-Environmental-Concerns-and-Battery-Advancements.html,2025-03-25T14:55:00Z,GlobeNewswire,Neutral,Neutral
Demand for SUVs has increased waiting times for top-selling models,"Long waiting periods for SUVs in Indian market prompt OEMs to expand capacities, reducing customer wait times.",https://www.thehindubusinessline.com/companies/demand-for-suvs-has-increased-waiting-times-for-top-selling-models/article69372849.ece,2025-03-25T13:56:05Z,BusinessLine,Positive,Positive
315Work Avenue plans to add 2 mn sqft of office space by FY2026,"315Work Avenue plans to expand its coworking space portfolio by 2 million sq. ft, with a Rs 400 crore investment, to meet the rising demand for flexible office spaces among corporates. The company currently manages 3 million sq. ft and intends to grow to 5 mi…",https://economictimes.indiatimes.com/industry/services/property-/-cstruction/315work-avenue-plans-to-add-2-mn-sqft-of-office-space-by-fy2026/articleshow/119471627.cms,2025-03-25T09:26:02Z,The Times of India,Neutral,Positive
"Volvo-Eicher JV is a rare success story in an industry dominated by Tata, Ashok Leyland","Between FY19 and FY24, when the volumes for commercial vehicles above 3.5 tonne declined 7%, Volvo-Eicher grew 29%. This growth largely came at the expense of market leaders Tata Motors and Ashok Leyland. How did the JV pull this off?",https://economictimes.indiatimes.com/prime/transportation/volvo-eicher-jv-is-a-rare-success-story-in-an-industry-dominated-by-tata-ashok-leyland/primearticleshow/119439837.cms,2025-03-25T00:25:00Z,The Times of India,Positive,Positive
Foresight Announces Fourth Quarter and Full Year 2024 Financial Results,"NESS ZIONA, Israel, March 24, 2025 (GLOBE NEWSWIRE) -- Foresight Autonomous Holdings Ltd., (Nasdaq and TASE: FRSX) (“Foresight” or the “Company”), an innovator in 3D perception systems, today reported financial results for the fourth quarter and full year end…",https://www.globenewswire.com/news-release/2025/03/24/3048302/0/en/Foresight-Announces-Fourth-Quarter-and-Full-Year-2024-Financial-Results.html,2025-03-24T20:10:00Z,GlobeNewswire,Neutral,Neutral
Stock market update: FMCG stocks up as market rises,The 30-share BSE Sensex closed  up  1078.87 points at 77984.38,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-up-as-market-rises/articleshow/119421397.cms,2025-03-24T10:35:15Z,The Times of India,Neutral,Neutral
Auto sector outlook positive; two-wheelers offer better value: Sandip Sabharwal,"​Havells would be more diversified with some positives coming from the rest of the durables growth. AC growth is expected to be strong and on wires and cables, obviously, they will also get impacted.",https://economictimes.indiatimes.com/markets/expert-view/auto-sector-outlook-positive-two-wheelers-offer-better-value-sandip-sabharwal/articleshow/119408246.cms,2025-03-24T05:27:51Z,The Times of India,Positive,Positive
Global cos eye majority in Madison's ad business,"Publicis Groupe and Havas Network are both in discussions with Madison World, founded by Sam Balsara, to acquire a majority stake in its advertising business. This move comes as Madison looks to align with global networks for future growth. Interest from the …",https://economictimes.indiatimes.com/industry/services/advertising/global-cos-eye-majority-in-madisons-ad-business/articleshow/119388154.cms,2025-03-23T18:26:15Z,The Times of India,Neutral,Positive
Aston Martin to extend life of ICE models as global EV demand cools,"Global automakers have been reassessing their original plans to transition completely to EVs as growth slows. In the US, EV sales rose over 7% on-year in 2024 compared with 50% in 2023. EV sales in Europe declined 1.8% in 2024.",https://www.livemint.com/companies/news/aston-martin-vanquish-launch-ice-models-evs-tata-motors-jaguar-land-rover-porsche-mm-11742716826994.html,2025-03-23T12:34:37Z,Livemint,Positive,Positive
